ID,GBH_12m,Sex,EthnicAppearance_cleaned,Age,InitialRisk,AccHowKnown,Known 1,Known 2,ProceedingsType,Crimes in pre,Crimes in pre 1,DV in Pre,DV in Pre 1
9953,No,M,Black,30,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10204,Yes,M,Black,30,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10989,No,M,Black,30,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11811,No,M,Black,30,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11906,No,M,Black,30,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12198,No,F,Black,30,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12360,No,M,Black,30,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Third and subsequent time charged,0,No,0,No
12586,No,M,Black,30,M,Ex Husband of victim,Partner/Spouse,Ex,Third and subsequent time charged,0,No,0,No
3363,No,M,Black,30,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
4810,No,M,Black,30,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
7895,No,M,Black,30,M,Ex Husband of victim,Partner/Spouse,Ex,First time charged,1,Yes,0,No
12232,No,F,Black,30,M,Girlfriend of victim,Boy/Girlfriend,Current,Second time charged,1,Yes,0,No
10867,No,M,Black,30,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,2,Yes,0,No
1789,No,M,Black,30,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,4,Yes,0,No
6555,No,M,Black,30,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
6752,No,F,Black,30,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10352,No,M,Black,30,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,TIC,0,No,0,No
10431,No,F,Black,30,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11120,No,M,Black,30,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11229,No,F,Black,30,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Adult caution,0,No,0,No
11511,Yes,M,Black,30,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11995,No,M,Black,30,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11525,Yes,M,Black,30,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,0,No
3091,No,M,Black,30,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,1,Yes
594,No,M,Black,31,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
833,No,M,Black,31,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
833,No,M,Black,31,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
2631,No,F,Black,31,H,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
3283,No,M,Black,31,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
9836,No,M,Black,31,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11365,No,M,Black,31,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12589,No,M,Black,31,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12644,No,M,Black,31,H,Boyfriend of victim,Boy/Girlfriend,Current,Second time charged,0,No,0,No
7731,No,M,Black,31,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
10133,No,M,Black,31,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
10827,No,M,Black,31,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
5169,No,M,Black,31,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,10,Yes,0,No
2205,No,M,Black,31,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,1,Yes
6837,No,M,Black,31,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,1,Yes
4319,Yes,M,Black,31,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
6166,No,M,Black,31,S,Boyfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,0,No,0,No
7368,No,M,Black,31,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10350,No,M,Black,31,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12599,No,M,Black,31,S,Ex Husband of victim,Partner/Spouse,Ex,First time charged,0,No,0,No
12599,No,M,Black,31,S,Ex Husband of victim,Partner/Spouse,Ex,First time charged,0,No,0,No
6817,No,M,Black,31,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
9262,No,M,Black,31,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
11433,No,M,Black,31,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,2,Yes,0,No
2796,No,M,Black,32,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
2796,No,M,Black,32,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
3426,No,M,Black,32,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11691,No,M,Black,32,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12465,Yes,M,Black,32,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,First time charged,0,No,0,No
12481,No,M,Black,32,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
1023,No,M,Black,32,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
3384,Yes,M,Black,32,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
5238,No,M,Black,32,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,3,Yes,0,No
532,No,M,Black,32,M,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,4,Yes,0,No
3383,No,M,Black,32,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
7675,No,F,Black,32,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Adult caution,0,No,0,No
8690,No,M,Black,32,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
9517,No,F,Black,32,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10641,No,M,Black,32,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10813,No,M,Black,32,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11278,No,M,Black,32,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12380,No,F,Black,32,S,Wife of victim,Partner/Spouse,Current,Third and subsequent time charged,0,No,0,No
8249,No,F,Black,32,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,4,Yes,0,No
3459,No,M,Black,32,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,1,Yes
467,No,M,Black,33,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
1301,Yes,M,Black,33,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
3387,No,M,Black,33,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5709,No,M,Black,33,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
6496,No,M,Black,33,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
6734,No,F,Black,33,M,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
7774,No,F,Black,33,M,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
8706,No,M,Black,33,M,Boyfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,0,No,0,No
10703,No,M,Black,33,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11507,No,M,Black,33,M,Common Law Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11539,No,F,Black,33,M,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12392,No,M,Black,33,M,Boyfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,0,No,0,No
12671,No,M,Black,33,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
1132,No,M,Black,33,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,2,Yes,0,No
1132,No,M,Black,33,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,2,Yes,0,No
3034,No,M,Black,33,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
6446,No,M,Black,33,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10389,No,M,Black,33,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11126,No,M,Black,33,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
111,No,M,Black,33,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Postal Charge Requisition,2,Yes,0,No
645,No,M,Black,34,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
1399,No,M,Black,34,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
2705,No,M,Black,34,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
6695,No,M,Black,34,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
8569,No,M,Black,34,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
8917,No,M,Black,34,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10857,No,M,Black,34,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11544,Yes,M,Black,34,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12215,No,M,Black,34,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
8001,No,M,Black,34,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
7045,No,F,Black,34,H,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,2,Yes,0,No
12495,No,M,Black,34,H,Boyfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,2,Yes,0,No
630,Yes,M,Black,34,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,1,Yes
1989,Yes,F,Black,34,M,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,1,Yes
4224,No,M,Black,34,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
5892,Yes,M,Black,34,Unknown,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
6644,No,F,Black,34,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
6677,No,M,Black,34,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
6984,No,M,Black,34,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
7291,No,M,Black,34,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10882,No,F,Black,34,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5101,No,M,Black,34,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
11223,Yes,M,Black,34,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
1313,No,M,Black,35,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
3703,No,F,Black,35,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
4823,No,F,Black,35,M,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
5298,No,M,Black,35,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5916,No,M,Black,35,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
9850,Yes,M,Black,35,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10835,No,F,Black,35,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11804,No,M,Black,35,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12155,Yes,M,Black,35,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
2156,No,M,Black,35,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
10737,No,M,Black,35,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
11695,No,M,Black,35,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
6842,No,M,Black,35,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,2,Yes,0,No
5722,No,M,Black,35,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
6378,No,M,Black,35,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9587,No,M,Black,35,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10456,No,M,Black,35,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11409,No,F,Black,35,S,Girlfriend of victim,Boy/Girlfriend,Current,Adult caution,0,No,0,No
11860,Yes,M,Black,35,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12591,Yes,M,Black,35,S,Boyfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,0,No,0,No
10029,No,M,Black,35,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
11631,No,M,Black,35,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
496,No,M,Black,36,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
3335,No,M,Black,36,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
4161,No,M,Black,36,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
7712,No,M,Black,36,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
9096,No,M,Black,36,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
1125,No,F,Black,36,M,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
5747,Yes,F,Black,36,H,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
288,No,M,Black,36,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,1,Yes
3287,No,M,Black,36,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,2,Yes,1,Yes
910,No,M,Black,36,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
1774,No,M,Black,36,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
3652,No,M,Black,36,S,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
8629,No,M,Black,36,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12431,No,M,Black,36,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
532,No,M,Black,36,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,4,Yes,0,No
465,No,M,Black,37,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
4840,No,M,Black,37,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
7758,No,M,Black,37,M,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11181,Yes,M,Black,37,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11707,No,F,Black,37,M,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11881,No,F,Black,37,M,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
430,No,F,Black,37,M,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
2048,No,M,Black,37,H,Boyfriend of victim,Boy/Girlfriend,Current,Postal Charge Requisition,1,Yes,0,No
12545,No,M,Black,37,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,First time charged,1,Yes,0,No
5688,No,M,Black,37,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,2,Yes,1,Yes
198,No,M,Black,37,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
737,No,M,Black,37,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
2136,No,M,Black,37,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
2722,No,M,Black,37,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
4044,No,F,Black,37,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
8706,No,M,Black,37,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10248,No,M,Black,37,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10469,No,F,Black,37,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10586,Yes,M,Black,37,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11198,No,M,Black,37,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11493,No,F,Black,37,S,Boyfriend of victim,Boy/Girlfriend,Current,Adult caution,0,No,0,No
10066,No,M,Black,37,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
11293,No,M,Black,37,S,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,1,Yes,0,No
4,Yes,M,Black,38,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
1768,No,M,Black,38,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
1850,Yes,M,Black,38,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
2072,No,F,Black,38,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
3533,No,M,Black,38,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
4498,No,M,Black,38,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
8443,No,M,Black,38,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9889,Yes,M,Black,38,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
10648,No,M,Black,38,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11535,No,M,Black,38,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11851,No,M,Black,38,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12192,No,F,Black,38,H,Girlfriend of victim,Boy/Girlfriend,Current,First time charged,0,No,0,No
12607,No,M,Black,38,H,Ex Common Law Husband of victim,Partner/Spouse,Ex,Second time charged,0,No,0,No
745,No,M,Black,38,H,Boyfriend of victim,Boy/Girlfriend,Current,Postal Charge Requisition,1,Yes,0,No
1375,No,M,Black,38,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
532,No,M,Black,38,H,Husband of victim,Partner/Spouse,Current,Postal Charge Requisition,4,Yes,0,No
6011,No,F,Black,38,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
6138,No,M,Black,38,S,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
11725,No,F,Black,38,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10022,Yes,M,Black,38,Unknown,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
12576,No,M,Black,38,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
783,No,M,Black,39,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
3696,Yes,M,Black,39,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
4424,No,M,Black,39,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5352,No,M,Black,39,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
5686,No,F,Black,39,M,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
6884,No,M,Black,39,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
9947,No,F,Black,39,M,Girlfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,0,No,0,No
11589,No,M,Black,39,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12592,Yes,M,Black,39,H,Boyfriend of victim,Boy/Girlfriend,Current,First time charged,0,No,0,No
12592,No,M,Black,39,H,Boyfriend of victim,Boy/Girlfriend,Current,First time charged,0,No,0,No
12601,No,M,Black,39,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Third and subsequent time charged,0,No,0,No
3395,No,M,Black,39,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
1616,No,M,Black,39,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5616,No,F,Black,39,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
8135,No,F,Black,39,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
9177,No,M,Black,39,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
1805,No,F,Black,39,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,1,Yes
484,Yes,M,Black,40,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
2336,Yes,M,Black,40,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
2592,No,M,Black,40,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
3284,No,M,Black,40,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10862,Yes,M,Black,40,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11235,No,M,Black,40,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11542,No,M,Black,40,M,Common Law Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11542,No,M,Black,40,M,Common Law Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11653,No,M,Black,40,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11653,No,M,Black,40,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11775,No,M,Black,40,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12609,No,F,Black,40,H,Wife of victim,Partner/Spouse,Current,First time charged,0,No,0,No
6379,Yes,M,Black,40,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
8131,No,M,Black,40,S,Husband of victim,Partner/Spouse,Current,Third and subsequent time charged,0,No,0,No
8875,No,F,Black,40,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
10472,No,F,Black,40,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10862,Yes,M,Black,40,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11321,No,F,Black,40,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12421,No,F,Black,40,S,Girlfriend of victim,Boy/Girlfriend,Current,First time charged,0,No,0,No
2479,No,M,Black,40,S,Girlfriend of victim,Boy/Girlfriend,Current,First time charged,1,Yes,0,No
11205,No,M,Black,40,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
4876,No,F,Black,40,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,8,Yes,1,Yes
1217,No,M,Black,41,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
4115,No,M,Black,41,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
4956,Yes,M,Black,41,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11317,No,M,Black,41,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11547,No,M,Black,41,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11928,No,M,Black,41,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11956,No,M,Black,41,M,Common Law Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12459,Yes,M,Black,41,H,Boyfriend of victim,Boy/Girlfriend,Current,First time charged,0,No,0,No
7396,Yes,M,Black,41,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,0,No
11423,No,M,Black,41,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
12477,No,M,Black,41,M,Girlfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,1,Yes,1,Yes
7475,No,M,Black,41,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
8362,No,M,Black,41,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
9609,No,M,Black,41,S,Ex Common Law Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
9609,No,M,Black,41,S,Ex Common Law Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
9623,No,F,Black,41,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11726,No,M,Black,41,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11772,Yes,M,Black,41,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
